129.211.1.107,SH-TEC-O2C,80,33472,2019-05-03 12:40:00
129.211.1.107,SH-TEC-O2C,443,33473,2019-05-03 12:41:05
129.211.1.107,SH-TEC-O2C,1084,33474,2019-05-03 12:42:10
129.211.1.107,SH-TEC-O2C,5201,33475,2019-05-03 12:43:15
139.199.106.197,BJ-TEC-O2C,80,33468,2019-05-02 12:44:20
139.199.106.197,BJ-TEC-O2C,443,33469,2019-05-02 12:45:25
139.199.106.197,BJ-TEC-O2C,1084,33470,2019-05-02 12:46:30
139.199.106.197,BJ-TEC-O2C,5202,33471,2019-05-02 12:47:35
132.232.58.32,CD-TEC-O2C,80,33464,2019-05-02 12:40:00
132.232.58.32,CD-TEC-O2C,443,33465,2019-05-02 12:41:05
132.232.58.32,CD-TEC-O2C,1084,33466,2019-05-02 12:42:10
132.232.58.32,CD-TEC-O2C,5203,33467,2019-05-02 12:43:15
94.191.81.215,CQ-TEC-O2C,80,33460,2019-05-02 12:44:20
94.191.81.215,CQ-TEC-O2C,443,33461,2019-05-02 12:45:25
94.191.81.215,CQ-TEC-O2C,1084,33462,2019-05-02 12:46:30
94.191.81.215,CQ-TEC-O2C,5204,33463,2019-05-02 12:47:35
47.112.113.236,SZ-ALI-O2C,80,33456,2019-05-02 12:40:00
47.112.113.236,SZ-ALI-O2C,443,33457,2019-05-02 12:41:05
47.112.113.236,SZ-ALI-O2C,1084,33458,2019-05-02 12:42:10
47.112.113.236,SZ-ALI-O2C,5205,33459,2019-05-02 12:43:15
bj-cu-hm1-kayodi.duckdns.org,BJ-CU-HM1,80,33484,2019-05-03 12:44:20
bj-cu-hm1-kayodi.duckdns.org,BJ-CU-HM1,443,33485,2019-05-03 12:45:25
bj-cu-hm1-kayodi.duckdns.org,BJ-CU-HM1,1084,33486,2019-05-03 12:46:30
bj-cu-hm1-kayodi.duckdns.org,BJ-CU-HM1,5206,33487,2019-05-03 12:47:35
123.59.170.215,iii-virtual-machine,80,33480,2019-05-03 12:40:00
123.59.170.215,iii-virtual-machine,443,33481,2019-05-03 12:41:05
123.59.170.215,iii-virtual-machine,1084,33482,2019-05-03 12:42:10
123.59.170.215,iii-virtual-machine,5207,33483,2019-05-03 12:43:15
202.112.51.44,BJ-THU-EU,80,33476,2019-05-03 12:44:20
202.112.51.44,BJ-THU-EU,443,33477,2019-05-03 12:45:25
202.112.51.44,BJ-THU-EU,1084,33478,2019-05-03 12:46:30
202.112.51.44,BJ-THU-EU,5208,33479,2019-05-03 12:47:35
